[오늘하루음악]아이유(<b>IU</b>) - 밤 편지,http://blog.naver.com/themusiq?Redirect=Log&amp;logNo=221076965375,만땅소울 감성충전소,http://blog.naver.com/themusiq,20170818
아이유(<b>IU</b>) - 이름에게,http://blog.naver.com/sehwa438?Redirect=Log&amp;logNo=221079891221,에르미나의 다락방,http://blog.naver.com/sehwa438,20170822
진심을 다해도 지나가는 / 아이유 (<b>IU</b>) - 사랑이 지나가면,http://blog.naver.com/july7bird?Redirect=Log&amp;logNo=221080397364,진솔하게 삶,http://blog.naver.com/july7bird,20170823
아이유 <b>IU</b> - 나만 몰랐던 이야기,http://blog.naver.com/ksojune?Redirect=Log&amp;logNo=221039134325,나댕기는 쭌,http://blog.naver.com/ksojune,20170628
아이유(<b>IU</b>) 분홍신 동화를 재해석한 뮤비,http://hackperl.tistory.com/135,금단증상,http://hackperl.tistory.com/,20170329
천연비타민D 안국건강 선샤인 400 <b>IU</b>,http://blog.naver.com/sgoi0870?Redirect=Log&amp;logNo=221048089532,크리미베이비,http://blog.naver.com/sgoi0870,20170710
이병우&amp;아이유(<b>IU</b>)-그렇게 사랑은,http://blog.naver.com/prmadame?Redirect=Log&amp;logNo=221007934380,PRMadame,http://blog.naver.com/prmadame,20170517
아이유(<b>IU</b>) 정규 4집 첫번째 선공개곡 '밤편지' MV 현장 단독... ,http://blog.naver.com/muzmon?Redirect=Log&amp;logNo=220964359809,뮤즈몬,http://blog.naver.com/muzmon,20170322
아이유(<b>IU</b>) 컴백! '밤편지' MV 메이크업 튜토리얼♩,http://blog.naver.com/r_ryun?Redirect=Log&amp;logNo=220970227938,헮네,http://blog.naver.com/r_ryun,20170329
아이유(<b>IU</b>) 밤편지 기타코드,http://blog.naver.com/rlawngmls2?Redirect=Log&amp;logNo=221004976728,끼임주히블로그,http://blog.naver.com/rlawngmls2,20170513
[축제/아이유]해운대썸머페스티벌에 아이유(<b>IU</b>)가뜬다....... ,http://blog.naver.com/carnegie007?Redirect=Log&amp;logNo=221065107699,금조PD와 함께하는 행복 코리아,http://blog.naver.com/carnegie007,20170802
유인나의 볼륨을 높여요 - 상황극 (With 아이유&lt;<b>IU</b>&gt;),http://blog.naver.com/alsrb5860?Redirect=Log&amp;logNo=221073184259,KARIA,http://blog.naver.com/alsrb5860,20170813
아이유(<b>IU</b>) 금요일에 만나요 : 뮤비/가사/듣기/피아노연주,http://blog.naver.com/zlzlzlzl1462?Redirect=Log&amp;logNo=221083907598,은별이의 파란만장스토리<룰루랄라>,http://blog.naver.com/zlzlzlzl1462,20170828
"[한국음악]나의 옛날이야기 - <b>IU</b>(아이유),.2014",http://blog.naver.com/noah7ark?Redirect=Log&amp;logNo=221088576535,NoAh's BloG,http://blog.naver.com/noah7ark,20170903
더존(duzon) 개발형 ERP 솔루션 <b>iU</b>(아이유)-사용자 편의성이... ,http://blog.naver.com/zenzang75?Redirect=Log&amp;logNo=220959255327,셔터의 달인™ 뻔뻔하고 식상한 사진찍기,http://blog.naver.com/zenzang75,20170316
더존 개발형 ERP <b>IU</b> 모바일 솔루션(SFA) 살펴보기,http://blog.naver.com/iffu?Redirect=Log&amp;logNo=220952862340,이퓨의 IT's IT,http://blog.naver.com/iffu,20170308
<b>IU</b>(아이유) _ Through the Night(밤편지)우쿨렐레버젼 / 전주... ,http://blog.daum.net/ladykmr/398,전주 유크피아 우쿨렐레 전문교육 기관,http://blog.daum.net/ladykmr,20170412
